Free adjacent seat;You have the possibility, to purchase an extra seat for your flight. To do so, please call a Lufthansa Group Airlines call center/service center. This option is called "Extra Seat for Comfort". Different options are available depending on the type of aircraft.
How am I informed, in case my flight is cancelled?;To receive direct information from Lufthansa about your flights, please provide your contact information within your booking or profile. You can also find flight status information on our website.
